ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1297	55.679	49.9799	49.5413	52.4035	78.7629	53.4065	59.7286	52.0433	47.441	61.609	55.5204	64.4776	41.5951	66.0928	67.4474	43.354	64.0494	75.9235
sub_1298	181.498	159.541	148.053	178.309	193.092	200.806	189.773	152.215	139.004	198.574	196.453	172.986	132.578	184.667	183.567	195.084	174.113	217.012
sub_1299	54.7576	51.3107	38.3044	62.2432	54.5906	58.8275	62.8338	50.8196	50.4176	45.3705	48.1668	49.6497	42.2608	68.3307	68.0805	54.367	39.969	60.7163
sub_1300	53.9981	58.3788	28.7528	49.1883	47.3237	63.3801	68.4853	60.0435	56.9653	42.1639	56.0096	58.0753	51.0443	54.5405	49.8056	58.0444	57.021	82.5202
sub_1301	433.931	421.539	451.867	426.173	476.612	426.294	446.633	470.083	494.877	427.744	425.33	406.732	465.673	440.944	437.327	465.525	493.83	383.005
sub_1302	178.405	196.359	194.804	192.452	98.9592	205.539	174.794	205.714	198.796	159.555	173.593	181.191	205.57	153.48	182.119	203.504	184.953	145.298
sub_1303	210.487	250.514	163.143	268.515	179.36	261.061	269.135	264.757	212.146	188.596	199.884	236.143	251.301	207.515	225.63	277.959	235.88	258.75
sub_1304	2038.005	2461.04	2096.77	2327.975	2335.305	2630.415	2051.665	2596.98	2357.215	2315.35	2487.46	2285.205	2493.92	2406.05	2134.675	2388.33	2679.575	2502.455
sub_1305	177.001	123.817	108.147	187.284	521.003	223.706	175.528	227.914	195.288	202.526	155.526	172.614	161.773	311.151	297.495	183.818	198.011	354.941
sub_1306	65.9788	53.3041	57.4821	61.4674	55.5641	62.1771	71.0298	65.1923	43.1161	56.0581	70.0612	76.1003	51.9783	61.0447	48.5118	59.5739	69.1608	78.1935
sub_1307	530.536	457.993	359.048	379.726	807.941	489.943	515.748	620.286	497.985	741.901	470.923	496.875	464.042	544.962	411.045	340.304	978.355	824.391
sub_1308	44.2773	32.5634	37.6343	38.2029	34.7894	35.7978	47.1525	40.4119	36.3721	35.6041	35.7497	35.7522	32.3106	44.0572	40.189	38.7706	37.3912	46.0881
sub_1309	146.8775	132.19485	130.12795	140.8111	186.4375	149.56515	157.23935	144.2504	132.0783	135.8044	147.0743	160.8685	151.90275	160.4787	142.93915	152.0396	143.1276	163.9897
